week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,base_artist,expand,key,artist_title
6/4/2016,34,cheap thrills,Sia Featuring Sean Paul,38,34,14,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
6/11/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,8,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
6/11/2016,3,can't stop the feeling!,Justin Timberlake,3,1,3,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
6/11/2016,10,work,Rihanna Featuring Drake,8,1,18,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
6/11/2016,24,cheap thrills,Sia Featuring Sean Paul,34,24,15,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
6/11/2016,33,sorry,Justin Bieber,29,1,31,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
6/18/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,9,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
6/18/2016,3,can't stop the feeling!,Justin Timberlake,3,1,4,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
6/18/2016,12,work,Rihanna Featuring Drake,10,1,19,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
6/18/2016,19,cheap thrills,Sia Featuring Sean Paul,24,19,16,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
6/18/2016,31,sorry,Justin Bieber,33,1,32,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
6/25/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,10,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
6/25/2016,3,can't stop the feeling!,Justin Timberlake,3,1,5,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
6/25/2016,12,work,Rihanna Featuring Drake,12,1,20,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
6/25/2016,13,cheap thrills,Sia Featuring Sean Paul,19,13,17,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
6/25/2016,36,sorry,Justin Bieber,31,1,33,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
7/2/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,11,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
7/2/2016,2,can't stop the feeling!,Justin Timberlake,3,1,6,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
7/2/2016,8,cheap thrills,Sia Featuring Sean Paul,13,8,18,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
7/2/2016,16,work,Rihanna Featuring Drake,12,1,21,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
7/2/2016,33,sorry,Justin Bieber,36,1,34,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
7/9/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,12,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
7/9/2016,2,can't stop the feeling!,Justin Timberlake,2,1,7,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
7/9/2016,6,cheap thrills,Sia Featuring Sean Paul,8,6,19,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
7/9/2016,16,work,Rihanna Featuring Drake,16,1,22,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
7/9/2016,37,sorry,Justin Bieber,33,1,35,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
7/16/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,13,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
7/16/2016,2,can't stop the feeling!,Justin Timberlake,2,1,8,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
7/16/2016,6,cheap thrills,Sia Featuring Sean Paul,6,6,20,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
7/16/2016,20,work,Rihanna Featuring Drake,16,1,23,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
7/16/2016,37,sorry,Justin Bieber,37,1,36,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
7/23/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,14,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
7/23/2016,2,can't stop the feeling!,Justin Timberlake,2,1,9,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
7/23/2016,5,cheap thrills,Sia Featuring Sean Paul,6,5,21,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
7/23/2016,19,work,Rihanna Featuring Drake,20,1,24,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
7/23/2016,39,sorry,Justin Bieber,37,1,37,justin bieber,,justin bieber_sorry,Justin Bieber-sorry
7/30/2016,1,one dance,Drake Featuring WizKid & Kyla,1,1,15,drake,WizKid & Kyla,drake_one dance,Drake Featuring WizKid & Kyla-one dance
7/30/2016,2,can't stop the feeling!,Justin Timberlake,2,1,10,justin timberlake,,justin timberlake_can't stop the feeling!,Justin Timberlake-can't stop the feeling!
7/30/2016,3,cheap thrills,Sia Featuring Sean Paul,5,3,22,sia,Sean Paul,sia_cheap thrills,Sia Featuring Sean Paul-cheap thrills
7/30/2016,21,work,Rihanna Featuring Drake,19,1,25,rihanna,Drake,rihanna_work,Rihanna Featuring Drake-work
